StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,Section,Q1,Q2,Q3,Q5,Q6,Q6_7_TEXT,Q7,Q8,Q8_6_TEXT,Q9,Q10_1,Q10_2,Q11,Q12,Q13,Q14_1,Q14_2,Q14_3,Q15_1,Q15_2,Q15_3,Q15_4,Q15_5,Q15_6,Q15_7,Q15_8,Q15_9,Q16_1,Q16_2,Q16_3,Q16_4,Q16_5,Q17_1,Q17_2,Q17_3,Q17_4,Q17_5,Q18_1,Q18_2,Q18_3,Q18_4,Q19_1,Q19_2,Q19_3,Q19_4,Q20_1,Q20_2,Q20_3,Q20_4,Q21_1,Q21_2,Q21_3,Q21_4,Q22_1,Q22_2,Q22_3,Q22_4,Q22_5,Q22_6
##########,##########,IP Address,,82,389,FALSE,##########,R_tEhiYYV3kpPQQMx,,,,,,,anonymous,EN,1,,dignified-sage,,I agree and give my consent to participate in this project. I understand that participation is voluntary and that I may withdraw my consent at any time without penalty.,"It was required for my major/minor,Curiosity or interest in computer science,A teacher or other mentor encouraged me to,It helped build my computer science skills for my other interests",,"Took AP Calculus BC,Took other AP courses,Took other dual enrollment courses,Took part in student groups related to computer science",First Year,,I have not declared a major,Strongly disagree,Somewhat disagree,No,Math,,Strongly disagree,Strongly disagree,Strongly disagree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Strongly agree,Somewhat disagree,Strongly agree,Strongly agree,Somewhat agree,Strongly agree,Somewhat agree,Somewhat disagree,Strongly disagree,Somewhat agree,Sometimes,Rarely,Sometimes,Rarely,Often,Between 1 and 5 hours,Between 1 and 2 hours,Between 5 and 10 hours,Less than 1 hour,,,,,,,,,,,,,,,,,,
##########,##########,IP Address,,100,904,TRUE,##########,R_2PAtPNqzJm3R8tu,,,,,,,anonymous,EN,3,,fine-dragonfruit,,I agree and give my consent to participate in this project. I understand that participation is voluntary and that I may withdraw my consent at any time without penalty.,Curiosity or interest in computer science,,"Took AP Calculus AB,Took dual enrollment courses in computer science,Took other dual enrollment courses",Sophomore,,I have not declared a major,Somewhat agree,Neither agree nor disagree,No,NA,,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Somewhat disagree,Somewhat agree,Neither agree nor disagree,Somewhat disagree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat disagree,Somewhat agree,Somewhat disagree,Somewhat agree,Somewhat disagree,Somewhat agree,Somewhat agree,Rarely,Sometimes,Often,Sometimes,Never,Between 1 and 5 hours,Between 1 and 2 hours,Between 1 and 5 hours,Between 1 and 2 hours,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Somewhat disagree,Somewhat disagree,Somewhat disagree,Neither agree nor disagree,Strongly agree,Strongly agree,Somewhat agree,Somewhat agree,Somewhat disagree,Strongly agree
##########,##########,IP Address,,100,274,TRUE,##########,R_24N2Y7ivnVsi530,,,,,,,anonymous,EN,3,,questioned-banana,,I agree and give my consent to participate in this project. I understand that participation is voluntary and that I may withdraw my consent at any time without penalty.,"It was required for my major/minor,Curiosity or interest in computer science,It helped build my computer science skills for my other interests",,"Took a computer science or programming course not associated with AP or dual enrollment,Took part in student groups related to computer science",Sophomore,,I have not declared a major,Somewhat agree,Strongly agree,No,NA,,Somewhat disagree,Somewhat agree,Strongly agree,Somewhat disagree,Somewhat agree,Neither agree nor disagree,Somewhat agree,Neither agree nor disagree,Somewhat disagree,Somewhat disagree,Somewhat agree,Strongly agree,Somewhat disagree,Neither agree nor disagree,Somewhat agree,Somewhat agree,Somewhat agree,Rarely,Rarely,Often,Rarely,Always,Between 1 and 5 hours,Less than 1 hour,Between 5 and 10 hours,Less than 1 hour,Somewhat disagree,Somewhat disagree,Somewhat disagree,Somewhat disagree,Somewhat agree,Somewhat agree,Somewhat agree,Neither agree nor disagree,Neither agree nor disagree,Somewhat agree,Somewhat agree,Somewhat agree,Neither agree nor disagree,Somewhat agree,Somewhat disagree,Neither agree nor disagree,Somewhat agree,Neither agree nor disagree
##########,##########,IP Address,,100,167,TRUE,##########,R_bEiFisdjPXO3spr,,,,,,,anonymous,EN,2,,protected-huckleberry,,I agree and give my consent to participate in this project. I understand that participation is voluntary and that I may withdraw my consent at any time without penalty.,It was required for my major/minor,,,Junior,,"I have declared a major,I have declared a second major",,,No,ES&P,Statistics,Strongly disagree,Strongly disagree,Strongly disagree,Somewhat disagree,Somewhat agree,Somewhat agree,Strongly disagree,Neither agree nor disagree,Somewhat agree,Somewhat agree,Strongly agree,Strongly agree,Neither agree nor disagree,Neither agree nor disagree,Strongly disagree,Neither agree nor disagree,Somewhat agree,Never,Sometimes,Always,Always,Always,Between 1 and 5 hours,More than 10 hours,More than 10 hours,Between 1 and 2 hours,Somewhat agree,Somewhat agree,Somewhat agree,Neither agree nor disagree,Somewhat agree,Strongly agree,Neither agree nor disagree,Strongly agree,Somewhat agree,Somewhat agree,Neither agree nor disagree,Neither agree nor disagree,Somewhat agree,Strongly agree,Strongly agree,Somewhat agree,Strongly agree,Somewhat agree
##########,##########,IP Address,,100,361,TRUE,##########,R_2vhKkf51ijzIaKF,,,,,,,anonymous,EN,2,,light-hearted-beet,,I agree and give my consent to participate in this project. I understand that participation is voluntary and that I may withdraw my consent at any time without penalty.,"It was required for my major/minor,Curiosity or interest in computer science",,"Took AP Calculus AB,Took AP Calculus BC",Senior,,"I have declared a major,I have declared a minor",,,No,Biological Sciences,Minor: Statistical and Data Sciences,Strongly disagree,Strongly disagree,Strongly disagree,Somewhat agree,Strongly agree,Somewhat agree,Somewhat disagree,Strongly disagree,Somewhat agree,Strongly agree,Strongly agree,Strongly agree,Somewhat agree,Somewhat disagree,Somewhat agree,Somewhat agree,Somewhat agree,Never,Often,Sometimes,Often,Always,Between 5 and 10 hours,Between 5 and 10 hours,More than 10 hours,Between 1 and 5 hours,Somewhat agree,Somewhat agree,Strongly disagree,Strongly disagree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly agree,Somewhat agree,Somewhat agree,Somewhat disagree,Strongly agree,Strongly agree
##########,##########,IP Address,,100,269,TRUE,##########,R_1etQhJZWXF40APa,,,,,,,anonymous,EN,1,,accused-legume,,I agree and give my consent to participate in this project. I understand that participation is voluntary and that I may withdraw my consent at any time without penalty.,"It was required for my major/minor,Curiosity or interest in computer science",,,Sophomore,,I have declared a major,,,No,Engineering,,Strongly disagree,Strongly disagree,Neither agree nor disagree,Strongly disagree,Somewhat agree,Strongly disagree,Strongly disagree,Somewhat agree,Strongly agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Strongly agree,Somewhat disagree,Somewhat agree,Somewhat agree,Rarely,Often,Often,Often,Often,Between 5 and 10 hours,Between 1 and 2 hours,Between 5 and 10 hours,Less than 1 hour,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Somewhat disagree,Strongly disagree,Strongly disagree,Strongly disagree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat disagree,Somewhat agree
##########,##########,IP Address,,100,696,TRUE,##########,R_2Ce8A1Em0alsL5S,,,,,,,anonymous,EN,3,,insensitive-lychee,,I agree and give my consent to participate in this project. I understand that participation is voluntary and that I may withdraw my consent at any time without penalty.,"Curiosity or interest in computer science,It helped build my computer science skills for my other interests",,,Senior,,I have declared a major,,,No,Biology,,Strongly disagree,Strongly disagree,Somewhat agree,Somewhat agree,Strongly agree,Neither agree nor disagree,Somewhat agree,Somewhat disagree,Strongly agree,Somewhat disagree,Neither agree nor disagree,Somewhat agree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Strongly agree,Strongly agree,Sometimes,Often,Sometimes,Sometimes,Sometimes,Between 1 and 5 hours,Less than 1 hour,Between 1 and 5 hours,Less than 1 hour,Neither agree nor disagree,Somewhat agree,Somewhat disagree,Somewhat agree,Somewhat agree,Strongly agree,Strongly agree,Somewhat agree,Neither agree nor disagree,Somewhat disagree,Strongly disagree,Strongly disagree,Strongly agree,Strongly agree,Neither agree nor disagree,Somewhat agree,Somewhat agree,Neither agree nor disagree
##########,##########,IP Address,,100,307,TRUE,##########,R_xg5er4hxckX5Olr,,,,,,,anonymous,EN,2,,stupid-tamarillo,,I agree and give my consent to participate in this project. I understand that participation is voluntary and that I may withdraw my consent at any time without penalty.,"It was required for my major/minor,Curiosity or interest in computer science",,"Took AP Computer Science A,Took a computer science or programming course not associated with AP or dual enrollment,Learned a computer programming language on my own,Engaged in software or hardware related projects",Junior,,"I have declared a major,I have declared a minor",,,No,Engineering,English (minor),Strongly disagree,Strongly disagree,Somewhat disagree,Somewhat agree,Strongly agree,Somewhat disagree,Strongly disagree,Strongly disagree,Somewhat agree,Somewhat agree,Strongly agree,Strongly agree,Somewhat disagree,Somewhat agree,Strongly agree,Somewhat agree,Somewhat disagree,Rarely,Often,Often,Often,Sometimes,Between 5 and 10 hours,Between 1 and 5 hours,More than 10 hours,Between 1 and 2 hours,Somewhat disagree,Somewhat disagree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat disagree,Somewhat disagree,Somewhat disagree,Somewhat disagree,Strongly agree,Somewhat agree,Somewhat agree,Strongly agree,Neither agree nor disagree
##########,##########,IP Address,,100,645,TRUE,##########,R_1HjEtD9XBN2gl9X,,,,,,,anonymous,EN,1,,hysterical-breadfruit,,I agree and give my consent to participate in this project. I understand that participation is voluntary and that I may withdraw my consent at any time without penalty.,It was required for my major/minor,,"Took AP Calculus AB,Took other AP courses,Took other dual enrollment courses",Sophomore,,I have declared a major,,,No,Engineering,,Strongly disagree,Somewhat disagree,Strongly disagree,Somewhat disagree,Somewhat agree,Neither agree nor disagree,Strongly disagree,Neither agree nor disagree,Somewhat agree,Strongly agree,Strongly disagree,Neither agree nor disagree,Somewhat disagree,Strongly agree,Neither agree nor disagree,Strongly agree,Somewhat agree,Rarely,Never,Sometimes,Sometimes,Never,Between 1 and 5 hours,Between 1 and 2 hours,More than 10 hours,Less than 1 hour,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Somewhat agree,Strongly disagree,Strongly disagree,Strongly disagree,Somewhat agree,Somewhat agree,Somewhat agree,Neither agree nor disagree,Strongly agree,Strongly agree
##########,##########,IP Address,,100,1903,TRUE,##########,R_3lySGR2hN9C0lmQ,,,,,,,anonymous,EN,2,,convicted-kumquat,,I agree and give my consent to participate in this project. I understand that participation is voluntary and that I may withdraw my consent at any time without penalty.,"It was required for my major/minor,Curiosity or interest in computer science",,"Took AP Calculus AB,Took other AP courses,Took other dual enrollment courses",Sophomore,,I have declared a major,,,No,SDS,,Strongly disagree,Somewhat disagree,Somewhat agree,Somewhat agree,Strongly agree,Somewhat agree,Somewhat disagree,Neither agree nor disagree,Strongly agree,Somewhat agree,Neither agree nor disagree,Somewhat agree,Somewhat disagree,Somewhat agree,Somewhat agree,Somewhat disagree,Somewhat agree,Sometimes,Often,Always,Often,Sometimes,Between 1 and 5 hours,Between 1 and 2 hours,Between 1 and 5 hours,Less than 1 hour,Somewhat disagree,Somewhat disagree,Somewhat disagree,Somewhat disagree,Neither agree nor disagree,Somewhat agree,Somewhat agree,Somewhat disagree,Somewhat disagree,Somewhat disagree,Strongly disagree,Strongly disagree,Somewhat agree,Somewhat agree,Neither agree nor disagree,Somewhat disagree,Strongly agree,Somewhat agree
##########,##########,IP Address,,100,454,TRUE,##########,R_yNHA7ZCCIOXv87T,,,,,,,anonymous,EN,3,,contemplative-dill,,I agree and give my consent to participate in this project. I understand that participation is voluntary and that I may withdraw my consent at any time without penalty.,"It was required for my major/minor,Curiosity or interest in computer science",,"Took AP Calculus AB,Took other AP courses",Sophomore,,I have not declared a major,Somewhat disagree,Somewhat disagree,No,,,Strongly disagree,Somewhat disagree,Somewhat disagree,Neither agree nor disagree,Somewhat disagree,Somewhat disagree,Somewhat agree,Strongly agree,Somewhat agree,Somewhat agree,Somewhat agree,Neither agree nor disagree,Neither agree nor disagree,Somewhat agree,Somewhat disagree,Neither agree nor disagree,Somewhat agree,Sometimes,Often,Always,Rarely,Sometimes,Between 1 and 5 hours,Less than 1 hour,Between 5 and 10 hours,Less than 1 hour,Neither agree nor disagree,Somewhat disagree,Somewhat disagree,Somewhat disagree,Strongly agree,Somewhat agree,Somewhat agree,Strongly agree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree
##########,##########,IP Address,,100,195398,TRUE,##########,R_28SsvadsdGrEvTP,,,,,,,anonymous,EN,3,,tormented-lettuce,,I agree and give my consent to participate in this project. I understand that participation is voluntary and that I may withdraw my consent at any time without penalty.,Curiosity or interest in computer science,,Took other AP courses,Sophomore,,I have not declared a major,Somewhat disagree,Somewhat agree,Yes,,,,,,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat disagree,Strongly agree,Somewhat agree,Somewhat agree,Neither agree nor disagree,Somewhat agree,Neither agree nor disagree,Somewhat disagree,Neither agree nor disagree,Somewhat agree,Rarely,Sometimes,Sometimes,Often,Often,Between 1 and 5 hours,Less than 1 hour,Between 5 and 10 hours,Less than 1 hour,Neither agree nor disagree,Somewhat agree,Somewhat agree,Somewhat disagree,Somewhat disagree,Somewhat agree,Somewhat agree,Neither agree nor disagree,Strongly agree,Strongly agree,Strongly agree,Somewhat agree,Somewhat agree,Neither agree nor disagree,Somewhat agree,Somewhat agree,Somewhat agree,Strongly agree
##########,##########,IP Address,,100,287,TRUE,##########,R_26xlrglwD5zzMHv,,,,,,,anonymous,EN,3,,disbelieving-mango,,I agree and give my consent to participate in this project. I understand that participation is voluntary and that I may withdraw my consent at any time without penalty.,"Curiosity or interest in computer science,It helped build my computer science skills for my other interests",,,Senior,,"I have declared a major,I have declared a second major,I have declared a program of study or concentration",,,No,"Russian, East European and Eurasian Studies",Studio Art; Digital Media Concentration,Strongly disagree,Strongly disagree,Strongly disagree,Somewhat disagree,Somewhat agree,Somewhat agree,Somewhat disagree,Somewhat agree,Somewhat agree,Neither agree nor disagree,Somewhat agree,Neither agree nor disagree,Somewhat agree,Strongly agree,Somewhat disagree,Somewhat agree,Somewhat agree,Sometimes,Sometimes,Rarely,Rarely,Never,Between 5 and 10 hours,Between 1 and 2 hours,Between 5 and 10 hours,Less than 1 hour,Strongly agree,Strongly agree,Neither agree nor disagree,Somewhat disagree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Somewhat disagree,Somewhat disagree,Strongly agree,Strongly agree,Strongly agree,Strongly agree
##########,##########,IP Address,,100,848,TRUE,##########,R_8ByGurHg3wJw5R7,,,,,,,anonymous,EN,2,,treasured-avocado,,I agree and give my consent to participate in this project. I understand that participation is voluntary and that I may withdraw my consent at any time without penalty.,"It was required for my major/minor,Curiosity or interest in computer science",,,Sophomore,,I have not declared a major,Neither agree nor disagree,Strongly disagree,No,SDS,,Strongly disagree,Strongly disagree,Strongly disagree,Somewhat agree,Strongly agree,Neither agree nor disagree,Neither agree nor disagree,Somewhat disagree,Strongly agree,Strongly agree,Strongly agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat disagree,Neither agree nor disagree,Strongly agree,Sometimes,Often,Sometimes,Sometimes,Sometimes,Between 5 and 10 hours,Between 1 and 5 hours,Between 5 and 10 hours,Between 1 and 5 hours,Somewhat agree,Somewhat agree,Neither agree nor disagree,Somewhat agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Somewhat disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Neither agree nor disagree,Somewhat agree
##########,##########,IP Address,,100,527,TRUE,##########,R_2e23m8vzXDgmbYS,,,,,,,anonymous,EN,3,,fantastic-tangerine,,I agree and give my consent to participate in this project. I understand that participation is voluntary and that I may withdraw my consent at any time without penalty.,"Curiosity or interest in computer science,A teacher or other mentor encouraged me to,It helped build my computer science skills for my other interests",,Took AP Calculus AB,Sophomore,,I have not declared a major,Somewhat disagree,Somewhat agree,No,N/A,,Strongly disagree,Strongly disagree,Strongly agree,Neither agree nor disagree,Somewhat agree,Strongly agree,Somewhat disagree,Somewhat disagree,Strongly agree,Somewhat agree,Somewhat agree,Neither agree nor disagree,Strongly agree,Strongly agree,Strongly disagree,Somewhat agree,Strongly agree,Never,Sometimes,Often,Often,Sometimes,Between 5 and 10 hours,Between 1 and 2 hours,More than 10 hours,Less than 1 hour,Somewhat agree,Somewhat disagree,Somewhat disagree,Neither agree nor disagree,Strongly agree,Strongly agree,Strongly agree,Somewhat agree,Somewhat disagree,Strongly disagree,Strongly disagree,Strongly disagree,Somewhat agree,Strongly agree,Somewhat agree,Strongly agree,Neither agree nor disagree,Somewhat agree
##########,##########,IP Address,,100,715,TRUE,##########,R_2QQDYJyUP1pKBu2,,,,,,,anonymous,EN,2,,crushed-carrot,,I agree and give my consent to participate in this project. I understand that participation is voluntary and that I may withdraw my consent at any time without penalty.,"It was required for my major/minor,Curiosity or interest in computer science",,"Took AP Computer Science A,Took AP Calculus AB,Completed an online course related to computer science or programming (e.g., MOOC),Learned a computer programming language on my own",Sophomore,,I have declared a major,,,No,Engineering,,Strongly disagree,Strongly disagree,Strongly disagree,Neither agree nor disagree,Somewhat disagree,Strongly disagree,Somewhat disagree,Somewhat agree,Somewhat agree,Somewhat agree,Strongly agree,Somewhat agree,Strongly disagree,Strongly agree,Somewhat agree,Strongly agree,Neither agree nor disagree,Rarely,Sometimes,Sometimes,Rarely,Often,Between 5 and 10 hours,Less than 1 hour,More than 10 hours,Less than 1 hour,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat disagree,Somewhat agree,Strongly agree,Somewhat agree,Strongly agree,Somewhat agree,Somewhat agree,Somewhat agree,Strongly agree,Strongly agree,Somewhat disagree,Neither agree nor disagree,Neither agree nor disagree,Somewhat agree
##########,##########,IP Address,,100,418,TRUE,##########,R_3UBPOZ8MrvY2UNP,,,,,,,anonymous,EN,3,,leery-pomelo,,I agree and give my consent to participate in this project. I understand that participation is voluntary and that I may withdraw my consent at any time without penalty.,Curiosity or interest in computer science,,"Took AP Calculus AB,Took other AP courses",Sophomore,,I have not declared a major,Somewhat disagree,Somewhat disagree,No,,,Strongly disagree,Somewhat disagree,Neither agree nor disagree,Somewhat agree,Strongly agree,Neither agree nor disagree,Somewhat agree,Somewhat agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Somewhat agree,Somewhat agree,Somewhat disagree,Somewhat disagree,Somewhat agree,Often,Always,Often,Often,Often,Between 1 and 5 hours,Between 1 and 2 hours,Between 5 and 10 hours,Less than 1 hour,Neither agree nor disagree,Somewhat agree,Neither agree nor disagree,Neither agree nor disagree,Somewhat agree,Somewhat agree,Somewhat agree,Neither agree nor disagree,Somewhat agree,Somewhat agree,Neither agree nor disagree,Somewhat agree,Neither agree nor disagree,Neither agree nor disagree,Somewhat agree,Strongly agree,Strongly agree,Somewhat agree
##########,##########,IP Address,,100,285,TRUE,##########,R_1E42lSEH6rytQxS,,,,,,,anonymous,EN,3,,desired-carrot,,I agree and give my consent to participate in this project. I understand that participation is voluntary and that I may withdraw my consent at any time without penalty.,"Curiosity or interest in computer science,It helped build my computer science skills for my other interests",,"Took AP Computer Science A,Took AP Calculus AB,Took AP Calculus BC,Took other AP courses,Took dual enrollment courses in computer science,Completed an online course related to computer science or programming (e.g., MOOC),Engaged in software or hardware related projects",Senior,,"I have declared a major,I have declared a second major",,,No,Mathematics,Economics,Strongly disagree,Strongly disagree,Strongly disagree,Somewhat agree,Strongly agree,Somewhat disagree,Strongly disagree,Strongly disagree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Somewhat agree,Somewhat disagree,Somewhat agree,Somewhat agree,Somewhat disagree,Rarely,Always,Always,Often,Always,Between 5 and 10 hours,Between 5 and 10 hours,More than 10 hours,Less than 1 hour,Somewhat disagree,Somewhat disagree,Somewhat disagree,Somewhat agree,Somewhat agree,Somewhat agree,Strongly agree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly agree,Strongly agree,Somewhat disagree,Somewhat disagree,Somewhat disagree,Neither agree nor disagree
##########,##########,IP Address,,100,375,TRUE,##########,R_0uYHw3wtQUIKePv,,,,,,,anonymous,EN,3,,betrayed-celeriac,,I agree and give my consent to participate in this project. I understand that participation is voluntary and that I may withdraw my consent at any time without penalty.,"It was required for my major/minor,It fulfilled another requirement",,"Took AP Computer Science A,Took AP Calculus BC,Took a computer science or programming course not associated with AP or dual enrollment",Sophomore,,I have not declared a major,Somewhat disagree,Somewhat disagree,No,,,Somewhat disagree,Somewhat disagree,Somewhat disagree,Somewhat disagree,Somewhat agree,Somewhat disagree,Strongly disagree,Neither agree nor disagree,Somewhat agree,Somewhat agree,Somewhat agree,Strongly agree,Neither agree nor disagree,Neither agree nor disagree,Strongly disagree,Somewhat agree,Somewhat agree,Sometimes,Always,Always,Often,Rarely,Between 1 and 5 hours,Between 1 and 2 hours,Between 5 and 10 hours,Between 1 and 2 hours,Somewhat agree,Somewhat disagree,Neither agree nor disagree,Neither agree nor disagree,Somewhat agree,Somewhat agree,Neither agree nor disagree,Neither agree nor disagree,Somewhat agree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Somewhat agree,Somewhat agree,Somewhat agree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree
##########,##########,IP Address,,100,1063,TRUE,##########,R_1IMfb2wQU4IyR5m,,,,,,,anonymous,EN,2,,renewed-anise,,I agree and give my consent to participate in this project. I understand that participation is voluntary and that I may withdraw my consent at any time without penalty.,"It fulfilled another requirement,Curiosity or interest in computer science",,,Senior,,"I have not declared a major,I have declared a second major",Strongly disagree,Strongly disagree,No,Film & Media Studies,American Studies,Strongly disagree,Strongly disagree,Strongly disagree,Somewhat agree,Neither agree nor disagree,Somewhat agree,Strongly disagree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Strongly agree,Neither agree nor disagree,Neither agree nor disagree,Somewhat disagree,Somewhat disagree,Somewhat agree,Sometimes,Sometimes,Sometimes,Rarely,Sometimes,Between 1 and 5 hours,Less than 1 hour,Between 1 and 5 hours,Less than 1 hour,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Somewhat agree,Neither agree nor disagree,Somewhat agree,Strongly agree,Somewhat agree,Strongly disagree,Strongly disagree,Strongly disagree,Neither agree nor disagree,Somewhat agree,Somewhat agree,Neither agree nor disagree,Somewhat disagree,Somewhat agree,Neither agree nor disagree