key,P1a-MCQ,P1a-J,P1a-Total,P1b-MCQ,P1b-J,P1b-Total,P1-Grade
betrayed-celeriac,26,27,53,26,27,53,88.3
blamed-rosemary,10,7,17,18,8,26,35.8
contemplative-dill,30,27,57,26,27,53,91.7
defenseless-loquat,22,22,44,10,10,20,53.3
desired-carrot,30,30,60,30,29,59,99.2
didactic-dragonfruit,26,27,53,30,27,57,91.7
disbelieving-mango,26,26,52,30,24,54,88.3
disgraced-beet,26,27,53,26,22,48,84.2
dreamy-mangetout,22,23,45,10,12,22,55.8
evil-anise,30,30,60,30,29,59,99.2
expectant-eggplant,26,27,53,26,23,49,85.0
fantastic-tangerine,30,30,60,26,21,47,89.2
fatigued-rosemary,26,27,53,22,22,44,80.8
fine-dragonfruit,18,12,30,22,13,35,54.2
honored-tamarillo,30,30,60,26,26,52,93.3
inclusive-asparagus,14,17,31,26,18,44,62.5
insensitive-lychee,22,21,43,30,23,53,80.0
intense-taro,26,27,53,26,21,47,83.3
leery-pomelo,22,24,46,30,25,55,84.2
manipulated-sage,26,26,52,26,27,53,87.5
pious-satsuma,26,25,51,14,14,28,65.8
puzzled-rambutan,26,25,51,22,21,43,78.3
questioned-banana,26,27,53,26,26,52,87.5
resentful-cabbage,26,26,52,18,17,35,72.5
tame-quince,30,30,60,26,25,51,92.5
tormented-lettuce,26,26,52,14,10,24,63.3
worldly-cauliflower,26,27,53,14,11,25,65.0
young-eggplant,30,30,60,26,25,51,92.5
zealous-lentils,30,30,60,26,27,53,94.2