"","key","Section","Question1","Question3","Question5","Question6","Question6_7_TEXT","Question7","Question8","Question8_6_TEXT","Question9","Question10_1","Question10_2","Question11","Question12","Question13","Question14_1","Question14_2","Question14_3","Question15_1","Question15_2","Question15_3","Question15_4","Question15_5","Question15_6","Question15_7","Question15_8","Question15_9","Question16_1","Question16_2","Question16_3","Question16_4","Question16_5","Question17_1","Question17_2","Question17_3","Question17_4","Question17_5","Question18_1","Question18_2","Question18_3","Question18_4","Question19_1","Question19_2","Question19_3","Question19_4","Question20_1","Question20_2","Question20_3","Question20_4","Question21_1","Question21_2","Question21_3","Question21_4","Question22_1","Question22_2","Question22_3","Question22_4","Question22_5","Question22_6"
"3","honored-tamarillo",3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,2,5,4,1,3,4,5,4,5,3,4,2,2,2,3,4,4,1,4,NA,2,4,1,2,2,2,1,5,5,3,1,2,2,2,2,2,3,4,4,4,1
"4","distressed-tamarillo",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,2,4,4,3,2,2,5,5,5,4,5,4,1,4,4,2,5,5,4,4,4,2,5,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","dreamy-mangetout",3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2,2,2,4,2,1,1,5,5,5,3,2,2,2,4,4,4,3,4,3,2,2,1,NA,2,2,3,3,4,5,5,5,2,4,3,3,3,4,2,3,3,4,5
"6","manipulated-sage",3,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2,NA,NA,NA,1,1,1,4,3,4,3,4,2,4,3,4,3,4,3,4,4,4,2,3,2,3,2,1,NA,1,4,4,4,4,4,4,4,1,3,2,2,3,2,4,3,2,4,3
"7","inclusive-asparagus",3,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,2,NA,NA,NA,3,2,1,2,4,4,3,2,2,4,2,3,4,4,2,4,3,3,3,3,3,3,2,1,2,1,5,5,4,4,4,4,4,4,2,2,2,2,4,4,4,4,4,4
"8","framed-pineapple",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,3,NA,NA,NA,3,5,3,4,5,4,3,4,5,5,5,5,4,4,3,4,5,3,3,3,4,3,NA,NA,NA,NA,3,3,3,4,5,5,5,5,2,2,2,2,5,5,2,5,4,5
"9","accused-lime",2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,4,5,2,2,2,5,5,5,5,2,2,5,5,2,2,3,4,4,3,NA,2,NA,1,5,5,5,5,5,5,5,5,1,1,1,1,4,5,2,2,3,4
"10","fatigued-rosemary",3,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,3,NA,NA,NA,3,5,3,4,5,3,4,4,5,5,5,5,4,5,2,2,5,4,5,4,5,5,2,1,NA,1,4,4,4,4,5,5,1,1,4,4,4,4,5,3,5,5,5,5
"11","pessimistic-cilantro",2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,3,2,2,4,3,4,4,5,4,4,3,2,2,2,2,2,4,3,3,NA,1,4,1,2,2,4,4,4,4,4,2,4,2,4,4,2,2,4,3,4,4
"12","tacky-tangerine",2,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,3,NA,NA,NA,2,5,2,2,5,2,1,1,4,5,5,5,1,3,2,4,3,2,3,5,4,4,NA,2,NA,1,5,5,2,3,5,5,5,5,2,1,1,4,4,4,4,3,2,5
"13","joyous-topinambur",2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,4,4,1,1,3,5,5,4,5,2,3,3,5,4,3,5,4,3,3,4,2,5,1,5,5,3,4,5,5,5,5,3,4,1,3,5,5,3,4,3,3
"14","barren-banana",2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2,2,2,4,3,4,5,4,3,3,3,2,4,2,3,4,4,3,4,3,3,2,1,NA,1,5,5,5,5,5,5,5,5,1,1,1,1,4,4,4,4,4,3
"15","defenseless-loquat",3,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2,NA,NA,NA,1,1,1,2,5,4,1,4,4,4,3,5,2,5,1,5,5,1,4,4,4,1,4,4,4,NA,5,5,5,5,5,5,5,5,1,1,1,1,5,5,4,5,3,5
"16","pious-satsuma",3,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,3,NA,NA,NA,3,3,3,2,4,1,3,5,1,1,1,3,1,2,3,4,4,3,2,3,2,1,2,1,NA,1,5,5,4,4,5,5,5,5,4,3,2,3,4,5,5,4,4,5
"17","puzzled-rambutan",3,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,3,NA,NA,NA,2,2,2,4,4,3,4,4,4,4,4,5,2,5,2,4,4,3,5,4,4,4,5,4,5,4,5,5,5,5,5,5,5,5,2,2,2,2,5,5,5,5,5,5
"18","zealous-lentils",3,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2,NA,NA,NA,3,3,3,3,4,4,2,2,3,4,4,4,3,4,2,2,3,3,3,3,4,4,4,2,4,2,2,2,2,2,4,4,4,4,2,2,2,2,3,3,3,3,3,3
"19","expectant-eggplant",3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,1,2,2,4,2,2,4,2,3,2,3,2,4,2,2,5,4,2,4,2,2,NA,1,NA,1,5,5,4,4,5,5,5,4,2,2,2,2,4,5,4,5,4,5
"20","gentle-calabrese",2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,3,4,5,3,1,1,5,5,5,5,3,5,3,4,3,2,5,4,5,5,4,4,5,5,2,2,3,4,5,5,5,5,2,4,4,1,3,4,4,4,4,3
"21","detached-turnip",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,5,NA,NA,NA,2,2,5,4,5,5,3,3,5,5,5,4,4,4,2,3,4,3,4,4,4,3,NA,2,NA,2,3,3,3,3,3,4,3,3,3,4,3,3,3,5,5,4,2,4
"22","confident-parsley",2,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,3,NA,NA,NA,3,5,3,3,4,4,2,4,4,3,4,3,4,4,3,4,4,2,3,4,3,4,2,1,NA,1,4,5,4,4,5,5,5,4,2,2,2,2,4,3,5,2,2,3
"23","punished-breadfruit",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,2,2,3,5,4,3,1,4,5,2,4,4,5,1,5,5,4,5,5,5,3,NA,2,4,1,4,4,2,4,4,5,4,5,5,4,4,2,2,5,5,5,5,2
"24","blamed-rosemary",3,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2,NA,NA,NA,1,1,1,2,3,4,2,5,2,3,3,2,3,2,2,4,4,2,2,4,2,3,1,2,2,1,5,5,5,5,2,4,5,3,2,2,2,2,4,4,3,4,4,4
"25","tame-quince",3,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,4,NA,NA,NA,3,4,4,3,4,4,2,1,5,3,4,5,4,4,3,4,4,5,3,5,4,3,5,NA,5,NA,2,2,2,2,3,3,3,2,4,4,4,4,2,2,3,3,2,4
"26","didactic-dragonfruit",3,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2,NA,NA,NA,1,1,2,2,4,4,2,3,5,4,3,4,4,5,2,3,4,2,5,4,5,3,4,1,5,1,3,3,1,1,5,5,5,4,2,2,2,2,4,5,5,5,5,4
"27","carefree-raspberry",2,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,4,NA,NA,NA,2,3,4,2,4,4,3,4,4,2,4,4,2,4,2,2,4,2,3,4,3,2,NA,1,4,1,2,2,1,2,5,4,5,3,4,3,2,2,3,5,4,5,4,4
"28","tested-nectarine",2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,3,1,4,2,2,4,4,5,2,5,2,5,3,4,5,3,3,4,3,1,NA,2,NA,1,5,5,5,5,5,5,5,5,4,4,2,4,3,4,5,5,3,4
"29","disgraced-beet",3,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,3,NA,NA,NA,3,3,3,2,4,2,3,3,4,4,3,4,3,4,2,4,4,3,4,5,2,2,5,1,5,1,4,4,3,3,5,5,4,4,4,2,2,4,3,3,5,5,3,5
"30","awkward-dragonfruit",2,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,1,NA,NA,NA,2,5,4,2,2,2,1,3,4,3,5,3,1,4,4,5,2,1,5,5,3,4,NA,1,4,1,2,2,2,2,5,5,5,5,4,1,1,1,4,5,1,1,5,5
"31","inflated-passionfruit",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,3,NA,NA,NA,3,5,4,1,5,4,4,4,4,2,2,4,4,5,1,1,5,2,3,4,3,4,4,2,5,NA,5,5,5,5,5,5,5,2,2,2,1,1,5,5,5,5,5,5
"32","dignified-sage",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2,NA,NA,NA,1,1,1,4,4,4,4,5,2,5,5,4,5,4,2,1,4,3,2,3,2,4,NA,2,4,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"33","fine-dragonfruit",3,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,3,NA,NA,NA,3,3,3,2,4,3,2,4,4,4,2,4,2,4,2,4,4,2,3,4,3,1,NA,2,NA,2,5,5,5,5,5,5,5,5,2,2,2,3,5,5,4,4,2,5
"34","questioned-banana",3,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,5,NA,NA,NA,2,4,5,2,4,3,4,3,2,2,4,5,2,3,4,4,4,2,2,4,2,5,NA,1,4,1,2,2,2,2,4,4,4,3,3,4,4,4,3,4,2,3,4,3
"35","protected-huckleberry",2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,2,4,4,1,3,4,4,5,5,3,3,1,3,4,1,3,5,5,5,NA,5,5,2,4,4,4,3,4,5,3,5,4,4,3,3,4,5,5,4,5,4
"36","light-hearted-beet",2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,4,5,4,2,1,4,5,5,5,4,2,4,4,4,1,4,3,4,5,4,4,5,NA,4,4,1,1,5,5,5,5,1,1,1,1,5,4,4,2,5,5
"37","accused-legume",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,3,1,4,1,1,4,5,4,4,4,4,5,2,4,4,2,4,4,4,4,4,2,4,1,4,4,4,4,5,5,5,5,2,1,1,1,4,4,4,4,2,4
"38","insensitive-lychee",3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,4,4,5,3,4,2,5,2,3,4,3,3,3,5,5,3,4,3,3,3,NA,1,NA,1,3,4,2,4,4,5,5,4,3,2,1,1,5,5,3,4,4,3
"39","stupid-tamarillo",2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,2,4,5,2,1,1,4,4,5,5,2,4,5,4,2,2,4,4,4,3,4,NA,5,2,2,2,4,4,4,4,4,4,4,2,2,2,2,5,4,4,5,3
"40","hysterical-breadfruit",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2,1,2,4,3,1,3,4,5,1,3,2,5,3,5,4,2,1,3,3,1,NA,2,5,1,5,5,5,5,5,5,5,5,4,1,1,1,4,4,4,3,5,5
"41","convicted-kumquat",2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2,4,4,5,4,2,3,5,4,3,4,2,4,4,2,4,3,4,5,4,3,NA,2,NA,1,2,2,2,2,3,4,4,2,2,2,1,1,4,4,3,2,5,4
"42","contemplative-dill",3,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2,NA,NA,NA,1,2,2,3,2,2,4,5,4,4,4,3,3,4,2,3,4,3,4,5,2,3,NA,1,4,1,3,2,2,2,5,4,4,5,3,3,3,3,4,4,4,4,4,4
"43","tormented-lettuce",3,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,4,NA,NA,NA,NA,NA,NA,4,4,4,4,2,5,4,4,3,4,3,2,3,4,2,3,3,4,4,NA,1,4,1,3,4,4,2,2,4,4,3,5,5,5,4,4,3,4,4,4,5
"44","disbelieving-mango",3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,2,4,4,2,4,4,3,4,3,4,5,2,4,4,3,3,2,2,1,4,2,4,1,5,5,3,2,5,5,5,5,1,1,1,1,2,2,5,5,5,5
"45","treasured-avocado",2,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,1,NA,NA,NA,1,1,1,4,5,3,3,2,5,5,5,4,4,4,2,3,5,3,4,3,3,3,4,NA,4,NA,4,4,3,4,5,5,5,5,2,3,3,3,4,4,4,4,3,4
"46","fantastic-tangerine",3,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,4,NA,NA,NA,1,1,5,3,4,5,2,2,5,4,4,3,5,5,1,4,5,1,3,4,4,3,4,2,5,1,4,2,2,3,5,5,5,4,2,1,1,1,4,5,4,5,3,4
"47","crushed-carrot",2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,3,2,1,2,4,4,4,5,4,1,5,4,5,3,2,3,3,2,4,4,1,5,1,4,4,4,4,2,4,5,4,5,4,4,4,5,5,2,3,3,4
"48","leery-pomelo",3,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2,NA,NA,NA,1,2,3,4,5,3,4,4,5,5,5,5,4,4,2,2,4,4,5,4,4,4,NA,2,4,1,3,4,3,3,4,4,4,3,4,4,3,4,3,3,4,5,5,4
"49","desired-carrot",3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,4,5,2,1,1,5,5,5,5,4,2,4,4,2,2,5,5,4,5,4,4,5,1,2,2,2,4,4,4,5,1,1,1,1,1,5,5,2,2,2,3
"50","betrayed-celeriac",3,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2,NA,NA,NA,2,2,2,2,4,2,1,3,4,4,4,5,3,3,1,4,4,3,5,5,4,2,NA,2,4,2,4,2,3,3,4,4,3,3,4,3,3,3,4,4,4,3,3,3
"51","renewed-anise",2,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,1,1,1,4,3,4,1,4,4,4,4,5,3,3,2,2,4,3,3,3,2,3,NA,1,NA,1,3,3,3,4,3,4,5,4,1,1,1,3,4,4,3,2,4,3
