"","key","section","Question1_Part1","Question1_Part3","Question1_Part4","Question2_Part2","Question3_Part1","Question3_Part1_7_TEXT","Question3_Part2","Question3_Part3","Question3_Part3_6_TEXT","Question3_Part4_1","Question3_Part5_1","Question3_Part6","Question3_Part7","Question4_Part1_1","Question4_Part1_2","Question4_Part1_3","Question4_Part1_4","Question4_Part1_5","Question4_Part1_6","Question5_Part1_1","Question5_Part1_2","Question5_Part1_3","Question5_Part1_4","Question5_Part1_5","Question5_Part1_6","Question6_Part1_1","Question6_Part1_2","Question6_Part1_3","Question6_Part1_4","Question6_Part1_5","Question6_Part2_1","Question6_Part2_2","Question6_Part2_3","Question6_Part2_4","Question6_Part2_5","Question6_Part2_6","Question6_Part2_7","Question6_Part2_8","Question6_Part2_9","Question6_Part3_1","Question6_Part3_2","Question6_Part3_3","Question6_Part3_4","Question7_Part1_1","Question7_Part1_2","Question7_Part1_3","Question7_Part1_4","Question7_Part2_1","Question7_Part2_2","Question7_Part2_3","Question7_Part2_4","Question7_Part3_1","Question7_Part3_2","Question7_Part3_3","Question7_Part3_4","Question7_Part3_5","Question7_Part3_6","Question7_Part4_1","Question7_Part4_2","Question7_Part4_3","Question7_Part4_4","Question7_Part4_5","Question7_Part4_6","Question7_Part4_7"
"23","red-jambul",1,"","","Section 1: 8:00 AM - 9:15 AM with Pablo Frank","I agree and give my consent to participate in this project. I understand that participation is voluntary and that I may withdraw my consent at any time without penalty.","It was required for my major/minor","","Took AP Computer Science Principles","Sophomore","","I am sure that I will NOT Declare a CS Major","I am sure that I will NOT Declare a CS Minor","Geosciences",NA,"Neither agree nor disagree","Somewhat agree","Somewhat disagree","Strongly agree","Somewhat disagree","Somewhat agree","Neither agree nor disagree","Somewhat agree","Neither agree nor disagree","Strongly agree","Strongly agree","Strongly agree","Rarely","Sometimes","Always","Sometimes","Always","Somewhat agree","Strongly agree","Somewhat agree","Strongly agree","Neither agree nor disagree","Strongly agree","Somewhat agree","Somewhat disagree","Somewhat agree","Between 1 and 5 hours","Between 1 and 5 hours","Between 5 and 10 hours","Between 1 and 2 hours","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Somewhat agree","Neither agree nor disagree","Somewhat agree","Strongly agree","Strongly agree","Strongly agree","Somewhat agree","Neither agree nor disagree","Neither agree nor disagree","Somewhat disagree","Neither agree nor disagree","Somewhat disagree","Somewhat agree","Somewhat disagree","Strongly agree","Somewhat agree","Somewhat disagree"
"24","red-radish",1,"","","Section 1: 8:00 AM - 9:15 AM with Pablo Frank","I agree and give my consent to participate in this project. I understand that participation is voluntary and that I may withdraw my consent at any time without penalty.","It was required for my major/minor","","Took AP Calculus AB,Took AP Calculus BC,Took other AP courses","Sophomore","","I am sure that I will NOT Declare a CS Major","I lean towards NOT Declaring a CS Minor","Engineering","Archaeology","Somewhat disagree","Somewhat agree","Somewhat disagree","Neither agree nor disagree","Somewhat disagree","Somewhat agree","Neither agree nor disagree","Neither agree nor disagree","Somewhat agree","Somewhat disagree","Somewhat agree","Somewhat agree","Often","Often","Rarely","Sometimes","Rarely","Somewhat agree","Strongly disagree","Somewhat agree","Somewhat agree","Somewhat agree","Somewhat disagree","Somewhat agree","Somewhat disagree","Strongly agree","Less than 1 hour","Less than 1 hour","Less than 1 hour","Less than 1 hour","Somewhat agree","Somewhat disagree","Somewhat disagree","Somewhat disagree","Somewhat disagree","Strongly disagree","Somewhat disagree","Somewhat agree","Somewhat agree","Strongly agree","Somewhat agree","Somewhat agree","Neither agree nor disagree","Somewhat agree","Somewhat agree","Somewhat agree","Somewhat disagree","Strongly disagree","Somewhat disagree","Somewhat agree","Somewhat disagree"
"25","scarlet-gooseberry",1,"","","Section 1: 8:00 AM - 9:15 AM with Pablo Frank","I agree and give my consent to participate in this project. I understand that participation is voluntary and that I may withdraw my consent at any time without penalty.","It was required for my major/minor","","Took AP Calculus BC","First Year","","I lean towards Declaring a CS Major","I am sure that I will NOT Declare a CS Minor","Quantitative econonomics",NA,"Somewhat agree","Somewhat agree","Somewhat agree","Somewhat agree","Somewhat agree","Strongly agree","Somewhat agree","Somewhat agree","Somewhat agree","Somewhat agree","Somewhat agree","Somewhat agree","Often","Often","Always","Often","Often","Somewhat agree","Somewhat agree","Somewhat agree","Somewhat agree","Somewhat agree","Somewhat agree","Somewhat agree","Somewhat agree","Somewhat agree","Between 1 and 5 hours","Between 1 and 5 hours","Between 1 and 5 hours","Between 1 and 5 hours","Somewhat agree","Somewhat agree","Somewhat agree","Somewhat agree","Somewhat disagree","Somewhat disagree","Somewhat agree","Somewhat agree","Somewhat agree","Somewhat agree","Somewhat agree","Somewhat agree","Somewhat agree","Somewhat agree","Somewhat agree","Somewhat agree","Somewhat agree","Somewhat agree","Somewhat agree","Somewhat agree","Somewhat agree"
"26","sunglow-nectarine",1,"","","Section 1: 8:00 AM - 9:15 AM with Pablo Frank","I agree and give my consent to participate in this project. I understand that participation is voluntary and that I may withdraw my consent at any time without penalty.","Curiosity or interest in computer science,A teacher or other mentor encouraged me to","","Took AP Calculus AB,Took other AP courses,Took other dual enrollment courses","First Year","","I lean towards NOT Declaring a CS Major","I lean towards Declaring a CS Minor",NA,NA,"Somewhat disagree","Somewhat agree","Neither agree nor disagree","Somewhat agree","Strongly agree","Strongly agree","Somewhat agree","Somewhat agree","Strongly agree","Somewhat disagree","Somewhat agree","Strongly agree","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"27","tumbleweed-cranberry",1,"","","Section 1: 8:00 AM - 9:15 AM with Pablo Frank","I agree and give my consent to participate in this project. I understand that participation is voluntary and that I may withdraw my consent at any time without penalty.","It fulfilled another requirement","","","Junior","","I am sure that I will NOT Declare a CS Major","I am sure that I will NOT Declare a CS Minor","Education and Child Study","Psychology","Somewhat agree","Somewhat agree","Somewhat agree","Somewhat agree","Somewhat agree","Somewhat agree","Somewhat disagree","Strongly disagree","Somewhat agree","Somewhat disagree","Somewhat agree","Somewhat agree","Often","Often","Often","Often","Often","Neither agree nor disagree","Somewhat agree","Somewhat agree","Somewhat disagree","Somewhat agree","Somewhat disagree","Somewhat agree","Somewhat agree","Somewhat agree","Between 1 and 2 hours","Between 1 and 2 hours","Between 1 and 5 hours","Between 1 and 2 hours","Somewhat disagree","Somewhat disagree","Somewhat disagree","Somewhat disagree","Somewhat agree","Somewhat agree","Somewhat agree","Somewhat disagree","Neither agree nor disagree","Somewhat disagree","Somewhat agree","Strongly agree","Strongly agree","Somewhat disagree","Somewhat agree","Somewhat agree","Somewhat agree","Somewhat agree","Somewhat disagree","Somewhat agree","Somewhat disagree"
"28","violet-kumquat",1,"","","Section 1: 8:00 AM - 9:15 AM with Pablo Frank","I agree and give my consent to participate in this project. I understand that participation is voluntary and that I may withdraw my consent at any time without penalty.","Curiosity or interest in computer science","","","First Year","","I lean towards NOT Declaring a CS Major","I lean towards NOT Declaring a CS Minor",NA,NA,"Neither agree nor disagree","Somewhat disagree","Neither agree nor disagree","Somewhat disagree","Somewhat agree","Somewhat agree","Neither agree nor disagree","Somewhat agree","Somewhat agree","Strongly disagree","Neither agree nor disagree","Neither agree nor disagree","Often","Often","Often","Sometimes","Sometimes","Strongly disagree","Somewhat disagree","Somewhat agree","Strongly agree","Somewhat agree","Somewhat disagree","Somewhat agree","Somewhat agree","Somewhat agree","Between 1 and 2 hours","Less than 1 hour","Between 1 and 2 hours","Less than 1 hour","Somewhat disagree","Somewhat disagree","Somewhat agree","Somewhat agree","Somewhat disagree","Strongly disagree","Somewhat agree","Neither agree nor disagree","Somewhat agree","Somewhat agree","Somewhat agree","Somewhat disagree","Somewhat agree","Somewhat disagree","Somewhat disagree","Somewhat disagree","Somewhat agree","Somewhat disagree","Somewhat agree","Neither agree nor disagree","Neither agree nor disagree"
"29","yellow-eggplant",1,"","","Section 1: 8:00 AM - 9:15 AM with Pablo Frank","I agree and give my consent to participate in this project. I understand that participation is voluntary and that I may withdraw my consent at any time without penalty.","Curiosity or interest in computer science,My parents encouraged me to,It helped build my computer science skills for my other interests","","Took AP Calculus BC,Took other AP courses,Took a computer science or programming course not associated with AP or dual enrollment,Took part in student groups related to computer science","First Year","","I lean towards NOT Declaring a CS Major","I lean towards NOT Declaring a CS Minor",NA,NA,"Somewhat agree","Somewhat agree","Somewhat agree","Strongly agree","Strongly agree","Strongly agree","Somewhat agree","Somewhat agree","Strongly agree","Neither agree nor disagree","Somewhat agree","Strongly agree","Often","Often","Often","Often","Often","Somewhat agree","Somewhat agree","Somewhat agree","Somewhat agree","Somewhat agree","Somewhat agree","Somewhat agree","Somewhat agree","Somewhat agree","Between 5 and 10 hours","Between 1 and 2 hours","Between 5 and 10 hours","Between 1 and 2 hours","Somewhat disagree","Somewhat disagree","Somewhat disagree","Somewhat disagree","Somewhat disagree","Somewhat disagree","Somewhat agree","Somewhat disagree","Somewhat disagree","Somewhat disagree","Somewhat agree","Somewhat agree","Somewhat agree","Somewhat disagree","Somewhat agree","Somewhat agree","Somewhat agree","Somewhat agree","Somewhat disagree","Somewhat agree","Somewhat disagree"
"30","almond-lychee",2,"","","Section 2: 9:25 AM - 10:40 AM with Pablo Frank","I agree and give my consent to participate in this project. I understand that participation is voluntary and that I may withdraw my consent at any time without penalty.","Curiosity or interest in computer science","","","First Year","","I am sure that I will NOT Declare a CS Major","I am sure that I will NOT Declare a CS Minor",NA,NA,"Strongly agree","Somewhat agree","Neither agree nor disagree","Strongly agree","Somewhat disagree","Strongly agree","Strongly agree","Neither agree nor disagree","Neither agree nor disagree","Neither agree nor disagree","Neither agree nor disagree","Strongly agree","Often","Always","Always","Sometimes","Always","Neither agree nor disagree","Neither agree nor disagree","Neither agree nor disagree","Neither agree nor disagree","Neither agree nor disagree","Somewhat disagree","Somewhat disagree","Somewhat agree","Neither agree nor disagree","More than 10 hours","Between 1 and 5 hours","More than 10 hours","More than 10 hours","Somewhat agree","Neither agree nor disagree","Somewhat agree","Neither agree nor disagree","Strongly agree","Neither agree nor disagree","Strongly agree","Neither agree nor disagree","Neither agree nor disagree","Neither agree nor disagree","Neither agree nor disagree","Strongly agree","Neither agree nor disagree","Neither agree nor disagree","Somewhat agree","Somewhat agree","Somewhat agree","Neither agree nor disagree","Neither agree nor disagree","Neither agree nor disagree","Neither agree nor disagree"
"31","apricot-tamarillo",2,"","","Section 2: 9:25 AM - 10:40 AM with Pablo Frank","I agree and give my consent to participate in this project. I understand that participation is voluntary and that I may withdraw my consent at any time without penalty.","It was required for my major/minor","","Took AP Computer Science Principles,Took AP Calculus BC,Took other AP courses","Sophomore","","I am sure that I will NOT Declare a CS Major","I am sure that I will NOT Declare a CS Minor","Quantitative Economics","Planning to minor in SDS","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Neither agree nor disagree","Strongly agree","Somewhat agree","Somewhat agree","Neither agree nor disagree","Neither agree nor disagree","Strongly agree","Sometimes","Often","Often","Sometimes","Often","Strongly agree","Strongly disagree","Somewhat agree","Neither agree nor disagree","Strongly agree","Somewhat agree","Strongly agree","Somewhat disagree","Somewhat agree","Between 1 and 2 hours","Less than 1 hour","Between 1 and 5 hours","Less than 1 hour","Somewhat disagree","Somewhat disagree","Somewhat disagree","Somewhat disagree","Somewhat disagree","Somewhat agree","Somewhat agree","Somewhat disagree","Somewhat agree","Neither agree nor disagree","Strongly agree","Somewhat agree","Somewhat agree","Somewhat disagree","Somewhat agree","Somewhat agree","Somewhat agree","Somewhat agree","Neither agree nor disagree","Somewhat agree","Neither agree nor disagree"
"32","asparagus-raspberry",2,"","","Section 2: 9:25 AM - 10:40 AM with Pablo Frank","I agree and give my consent to participate in this project. I understand that participation is voluntary and that I may withdraw my consent at any time without penalty.","It was required for my major/minor,Curiosity or interest in computer science,My parents encouraged me to","","Took AP Calculus AB,Took AP Calculus BC,Took other AP courses,Took other dual enrollment courses","Sophomore","","I am sure that I will NOT Declare a CS Major","I am sure that I will NOT Declare a CS Minor","Psychology","Statistical and Data Sciences","Strongly agree","Strongly agree","Strongly agree","Somewhat agree","Somewhat agree","Strongly agree","Somewhat agree","Neither agree nor disagree","Somewhat agree","Somewhat disagree","Somewhat agree","Strongly agree","Sometimes","Often","Sometimes","Often","Often","Strongly agree","Neither agree nor disagree","Somewhat agree","Somewhat agree","Strongly agree","Somewhat agree","Strongly agree","Somewhat agree","Strongly agree","Between 1 and 5 hours","Between 1 and 2 hours","Between 1 and 5 hours","Less than 1 hour","Somewhat disagree","Somewhat agree","Somewhat disagree","Somewhat disagree","Somewhat agree","Strongly agree","Strongly agree","Somewhat agree","Somewhat agree","Strongly agree","Neither agree nor disagree","Somewhat agree","Strongly agree","Somewhat disagree","Strongly agree","Strongly agree","Somewhat agree","Somewhat disagree","Somewhat agree","Somewhat agree","Neither agree nor disagree"
"33","blue-cucumber",2,"","","Section 2: 9:25 AM - 10:40 AM with Pablo Frank","I agree and give my consent to participate in this project. I understand that participation is voluntary and that I may withdraw my consent at any time without penalty.","It fulfilled another requirement,Curiosity or interest in computer science","","Took AP Computer Science Principles","Junior","","I am sure that I will NOT Declare a CS Major","I am sure that I will NOT Declare a CS Minor","Psychology","SDS","Somewhat agree","Somewhat agree","Somewhat agree","Neither agree nor disagree","Strongly agree","Strongly agree","Somewhat agree","Somewhat agree","Strongly agree","Neither agree nor disagree","Neither agree nor disagree","Somewhat agree","Often","Often","Sometimes","Often","Often","Somewhat agree","Somewhat agree","Strongly agree","Neither agree nor disagree","Somewhat agree","Somewhat agree","Neither agree nor disagree","Somewhat agree","Somewhat agree","Between 5 and 10 hours","Between 1 and 5 hours","Between 5 and 10 hours","Between 1 and 5 hours","Neither agree nor disagree","Somewhat agree","Somewhat agree","Strongly agree","Neither agree nor disagree","Somewhat agree","Neither agree nor disagree","Neither agree nor disagree","Somewhat disagree","Somewhat disagree","Neither agree nor disagree","Somewhat agree","Somewhat agree","Somewhat disagree","Somewhat agree","Somewhat agree","Neither agree nor disagree","Somewhat agree","Neither agree nor disagree","Somewhat agree","Neither agree nor disagree"
"34","blue-fig",2,"","","Section 2: 9:25 AM - 10:40 AM with Pablo Frank","I agree and give my consent to participate in this project. I understand that participation is voluntary and that I may withdraw my consent at any time without penalty.","It was required for my major/minor,Curiosity or interest in computer science,It helped build my computer science skills for my other interests","","Learned a computer programming language on my own,Worked a job related to computer science","Senior","","I am sure that I will NOT Declare a CS Major","I am sure that I will NOT Declare a CS Minor","Engineering","Ethics","Strongly agree","Strongly agree","Strongly agree","Somewhat agree","Somewhat agree","Strongly agree","Strongly agree","Somewhat disagree","Strongly agree","Somewhat disagree","Strongly agree","Strongly agree","Sometimes","Always","Always","Always","Always","Somewhat disagree","Somewhat disagree","Somewhat agree","Strongly disagree","Strongly agree","Strongly disagree","Strongly agree","Strongly agree","Strongly agree","Between 1 and 2 hours","Less than 1 hour","Between 1 and 5 hours","Less than 1 hour","Strongly disagree","Strongly disagree","Strongly disagree","Strongly disagree","Strongly disagree","Strongly disagree","Strongly disagree","Strongly disagree","Somewhat agree","Somewhat disagree","Strongly agree","Somewhat agree","Strongly agree","Strongly disagree","Somewhat agree","Somewhat agree","Strongly agree","Strongly agree","Somewhat agree","Somewhat agree","Somewhat agree"
"35","blush-grape",2,"","","Section 2: 9:25 AM - 10:40 AM with Pablo Frank","I agree and give my consent to participate in this project. I understand that participation is voluntary and that I may withdraw my consent at any time without penalty.","It fulfilled another requirement","","Took a computer science or programming course not associated with AP or dual enrollment","Senior","","I am sure that I will NOT Declare a CS Major","I am sure that I will NOT Declare a CS Minor","English","Spanish","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Neither agree nor disagree","Strongly agree","Somewhat disagree","Somewhat agree","Strongly agree","Often","Always","Rarely","Often","Always","Strongly agree","Neither agree nor disagree","Strongly agree","Somewhat agree","Strongly agree","Somewhat disagree","Strongly agree","Somewhat disagree","Strongly agree","Between 1 and 2 hours","Between 1 and 2 hours","Between 1 and 2 hours","Less than 1 hour","Somewhat disagree","Somewhat disagree","Somewhat disagree","Somewhat disagree","Somewhat disagree","Somewhat disagree","Somewhat disagree","Strongly disagree","Neither agree nor disagree","Somewhat disagree","Somewhat agree","Strongly agree","Strongly agree","Strongly disagree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Somewhat disagree","Strongly agree","Somewhat disagree"
"36","blush-redcurrant",2,"","","Section 2: 9:25 AM - 10:40 AM with Pablo Frank","I agree and give my consent to participate in this project. I understand that participation is voluntary and that I may withdraw my consent at any time without penalty.","It was required for my major/minor,It helped build my computer science skills for my other interests","","","Junior","","I already declared a CS Major","I am sure that I will NOT Declare a CS Minor","PSY","SDS","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Somewhat agree","Strongly agree","Neither agree nor disagree","Somewhat disagree","Strongly agree","Somewhat disagree","Neither agree nor disagree","Somewhat agree","Rarely","Sometimes","Often","Sometimes","Often","Somewhat disagree","Neither agree nor disagree","Somewhat agree","Somewhat disagree","Strongly agree","Somewhat disagree","Somewhat agree","Somewhat disagree","Somewhat agree","Between 1 and 5 hours","Less than 1 hour","Between 1 and 5 hours","Less than 1 hour","Somewhat agree","Somewhat disagree","Neither agree nor disagree","Neither agree nor disagree","Neither agree nor disagree","Somewhat agree","Somewhat disagree","Somewhat agree","Neither agree nor disagree","Somewhat disagree","Somewhat disagree","Somewhat agree","Neither agree nor disagree","Strongly disagree","Somewhat agree","Somewhat agree","Somewhat agree","Neither agree nor disagree","Somewhat disagree","Neither agree nor disagree","Somewhat disagree"
"37","brown-quince",2,"","","Section 2: 9:25 AM - 10:40 AM with Pablo Frank","I agree and give my consent to participate in this project. I understand that participation is voluntary and that I may withdraw my consent at any time without penalty.","It helped build my computer science skills for my other interests","","Took AP Calculus AB,Took AP Calculus BC","Sophomore","","I am sure that I will NOT Declare a CS Major","I am sure that I will NOT Declare a CS Minor","Biology","Geosciences","Strongly disagree","Strongly disagree","Strongly disagree","Somewhat agree","Somewhat agree","Strongly agree","Strongly disagree","Strongly disagree","Strongly agree","Somewhat agree","Somewhat disagree","Strongly agree","Sometimes","Always","Often","Always","Sometimes","Strongly disagree","Strongly disagree","Somewhat agree","Strongly agree","Neither agree nor disagree","Somewhat agree","Strongly agree","Strongly disagree","Strongly agree","Between 1 and 5 hours","Between 1 and 5 hours","Between 1 and 5 hours","Between 1 and 2 hours","Neither agree nor disagree","Neither agree nor disagree","Neither agree nor disagree","Neither agree nor disagree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Somewhat disagree","Strongly agree","Somewhat agree","Strongly agree","Strongly agree","Somewhat agree","Strongly disagree","Strongly disagree","Strongly disagree","Strongly disagree","Strongly agree","Neither agree nor disagree","Neither agree nor disagree"
"38","cerise-satsuma",2,"","","Section 2: 9:25 AM - 10:40 AM with Pablo Frank","I agree and give my consent to participate in this project. I understand that participation is voluntary and that I may withdraw my consent at any time without penalty.","It was required for my major/minor,Curiosity or interest in computer science,My parents encouraged me to","","Took a computer science or programming course not associated with AP or dual enrollment,Completed an online course related to computer science or programming (e.g., MOOC)","First Year","","I might or might not declare a CS major","I might or might not declare a CS Minor","NA, but leaning towards Data Science",NA,"Somewhat agree","Strongly agree","Somewhat agree","Strongly agree","Strongly agree","Strongly agree","Somewhat agree","Neither agree nor disagree","Strongly agree","Neither agree nor disagree","Strongly agree","Strongly agree","Often","Often","Always","Always","Often","Somewhat agree","Somewhat agree","Somewhat agree","Strongly agree","Strongly agree","Somewhat agree","Neither agree nor disagree","Somewhat disagree","Somewhat agree","Between 1 and 2 hours","Between 1 and 2 hours","Between 1 and 2 hours","Between 1 and 2 hours","Neither agree nor disagree","Neither agree nor disagree","Neither agree nor disagree","Neither agree nor disagree","Strongly disagree","Somewhat disagree","Somewhat disagree","Somewhat disagree","Somewhat disagree","Somewhat disagree","Strongly agree","Strongly agree","Somewhat disagree","Somewhat disagree","Somewhat agree","Somewhat agree","Strongly agree","Somewhat agree","Neither agree nor disagree","Somewhat agree","Somewhat disagree"
"39","chestnut-artichoke",2,"","","Section 2: 9:25 AM - 10:40 AM with Pablo Frank","I agree and give my consent to participate in this project. I understand that participation is voluntary and that I may withdraw my consent at any time without penalty.","Curiosity or interest in computer science","","Engaged in software or hardware related projects","First Year","","I am sure that I WILL Declare a CS Major","I lean towards NOT Declaring a CS Minor",NA,NA,"Somewhat disagree","Strongly disagree","Strongly disagree","Neither agree nor disagree","Strongly disagree","Strongly disagree","Strongly disagree","Somewhat agree","Neither agree nor disagree","Strongly disagree","Somewhat agree","Somewhat agree","Sometimes","Sometimes","Always","Rarely","Never","Strongly disagree","Strongly disagree","Somewhat disagree","Neither agree nor disagree","Neither agree nor disagree","Somewhat disagree","Somewhat disagree","Somewhat disagree","Somewhat agree","Less than 1 hour","Less than 1 hour","Less than 1 hour","Less than 1 hour","Somewhat disagree","Somewhat disagree","Somewhat disagree","Somewhat disagree","Strongly disagree","Strongly disagree","Strongly disagree","Strongly disagree","Neither agree nor disagree","Somewhat agree","Neither agree nor disagree","Somewhat disagree","Strongly agree","Somewhat agree","Strongly disagree","Strongly disagree","Somewhat disagree","Strongly disagree","Somewhat agree","Somewhat disagree","Strongly agree"
"40","copper-horseradish",2,"","","Section 2: 9:25 AM - 10:40 AM with Pablo Frank","I agree and give my consent to participate in this project. I understand that participation is voluntary and that I may withdraw my consent at any time without penalty.","Curiosity or interest in computer science,It helped build my computer science skills for my other interests","","Took AP Calculus BC,Took other AP courses,Engaged in software or hardware related projects","First Year","","I lean towards NOT Declaring a CS Major","I lean towards NOT Declaring a CS Minor",NA,"Five College Asian/Pacific/American Studies Certificate","Somewhat agree","Somewhat agree","Somewhat agree","Somewhat agree","Somewhat agree","Somewhat agree","Somewhat agree","Neither agree nor disagree","Somewhat agree","Somewhat agree","Strongly agree","Strongly agree","Sometimes","Often","Sometimes","Often","Often","Somewhat agree","Somewhat agree","Somewhat agree","Somewhat agree","Somewhat agree","Neither agree nor disagree","Somewhat agree","Somewhat agree","Somewhat agree","Between 1 and 2 hours","Less than 1 hour","Between 1 and 2 hours","Less than 1 hour","Somewhat disagree","Somewhat disagree","Somewhat disagree","Somewhat disagree","Somewhat disagree","Somewhat disagree","Somewhat agree","Neither agree nor disagree","Somewhat disagree","Somewhat agree","Somewhat agree","Somewhat agree","Neither agree nor disagree","Somewhat disagree","Somewhat agree","Somewhat agree","Somewhat agree","Somewhat agree","Somewhat agree","Somewhat agree","Somewhat agree"
"41","denim-asparagus",2,"","","Section 2: 9:25 AM - 10:40 AM with Pablo Frank","I agree and give my consent to participate in this project. I understand that participation is voluntary and that I may withdraw my consent at any time without penalty.","Curiosity or interest in computer science","","Took AP Calculus BC,Took other AP courses,Took a computer science or programming course not associated with AP or dual enrollment","First Year","","I am sure that I will NOT Declare a CS Major","I am sure that I will NOT Declare a CS Minor","Biology","","Somewhat disagree","Somewhat agree","Somewhat agree","Neither agree nor disagree","Neither agree nor disagree","Somewhat agree","Somewhat disagree","Neither agree nor disagree","Somewhat agree","Strongly disagree","Somewhat agree","Somewhat agree","Always","Sometimes","Always","Always","Sometimes","Somewhat agree","Somewhat agree","Somewhat agree","Strongly agree","Somewhat agree","Somewhat disagree","Strongly agree","Somewhat agree","Somewhat agree","Less than 1 hour","Less than 1 hour","Less than 1 hour","Less than 1 hour","Somewhat agree","Somewhat agree","Somewhat agree","Neither agree nor disagree","Strongly disagree","Strongly disagree","Somewhat agree","Strongly disagree","Somewhat agree","Somewhat disagree","Neither agree nor disagree","Somewhat agree","Somewhat agree","Strongly disagree","Neither agree nor disagree","Somewhat disagree","Somewhat agree","Somewhat agree","Neither agree nor disagree","Somewhat agree","Strongly disagree"
"42","eggplant-daikon",2,"","","Section 2: 9:25 AM - 10:40 AM with Pablo Frank","I agree and give my consent to participate in this project. I understand that participation is voluntary and that I may withdraw my consent at any time without penalty.","Curiosity or interest in computer science,It helped build my computer science skills for my other interests","","Learned a computer programming language on my own,Took part in student groups related to computer science","Senior","","I am sure that I will NOT Declare a CS Major","I am sure that I will NOT Declare a CS Minor","Biology","German Studies minor","Somewhat agree","Somewhat agree","Neither agree nor disagree","Somewhat disagree","Strongly agree","Somewhat agree","Somewhat disagree","Somewhat agree","Somewhat agree","Neither agree nor disagree","Strongly agree","Strongly agree","Sometimes","Often","Always","Sometimes","Often","Somewhat agree","Somewhat agree","Strongly agree","Somewhat agree","Strongly agree","Somewhat agree","Somewhat agree","Strongly disagree","Somewhat agree","Between 1 and 2 hours","Less than 1 hour","Less than 1 hour","Less than 1 hour","Somewhat agree","Somewhat agree","Somewhat agree","Somewhat agree","Somewhat disagree","Somewhat agree","Somewhat disagree","Strongly disagree","Somewhat disagree","Somewhat agree","Somewhat disagree","Somewhat disagree","Somewhat disagree","Strongly disagree","Somewhat agree","Somewhat agree","Somewhat agree","Somewhat disagree","Somewhat disagree","Somewhat agree","Somewhat disagree"
"43","gold-blackcurrant",2,"","","Section 2: 9:25 AM - 10:40 AM with Pablo Frank","I agree and give my consent to participate in this project. I understand that participation is voluntary and that I may withdraw my consent at any time without penalty.","It was required for my major/minor","","","Sophomore","","I am sure that I will NOT Declare a CS Major","I am sure that I will NOT Declare a CS Minor","Psychology","Statistical and Data Sciences","Somewhat agree","Strongly agree","Strongly agree","Somewhat agree","Strongly agree","Strongly agree","Strongly agree","Neither agree nor disagree","Strongly agree","Strongly disagree","Somewhat agree","Strongly agree","Sometimes","Often","Always","Always","Always","Strongly agree","Neither agree nor disagree","Strongly agree","Strongly agree","Strongly agree","Somewhat disagree","Strongly agree","Somewhat agree","Strongly agree","Between 1 and 2 hours","Less than 1 hour","Between 1 and 2 hours","Less than 1 hour","Somewhat disagree","Somewhat disagree","Somewhat disagree","Somewhat disagree","Neither agree nor disagree","Somewhat disagree","Somewhat agree","Somewhat disagree","Somewhat agree","Somewhat agree","Strongly agree","Strongly agree","Strongly agree","Strongly disagree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Somewhat disagree","Strongly agree","Strongly agree"
"44","green-mushroom",2,"","","Section 2: 9:25 AM - 10:40 AM with Pablo Frank","I agree and give my consent to participate in this project. I understand that participation is voluntary and that I may withdraw my consent at any time without penalty.","It fulfilled another requirement,It helped build my computer science skills for my other interests","","","Senior","","I am sure that I will NOT Declare a CS Major","I am sure that I will NOT Declare a CS Minor","History","Studio Art","Somewhat disagree","Strongly disagree","Somewhat disagree","Strongly disagree","Strongly disagree","Strongly disagree","Strongly disagree","Strongly agree","Somewhat disagree","Neither agree nor disagree","Somewhat disagree","Somewhat disagree","Sometimes","Always","Sometimes","Often","Often","Somewhat agree","Somewhat disagree","Strongly agree","Neither agree nor disagree","Strongly agree","Neither agree nor disagree","Neither agree nor disagree","Somewhat disagree","Strongly agree","Between 1 and 5 hours","Between 1 and 2 hours","Between 5 and 10 hours","Less than 1 hour","Neither agree nor disagree","Neither agree nor disagree","Neither agree nor disagree","Neither agree nor disagree","Somewhat agree","Somewhat agree","Somewhat agree","Somewhat agree","Neither agree nor disagree","Neither agree nor disagree","Somewhat agree","Somewhat agree","Neither agree nor disagree","Neither agree nor disagree","Neither agree nor disagree","Neither agree nor disagree","Somewhat agree","Neither agree nor disagree","Neither agree nor disagree","Neither agree nor disagree","Neither agree nor disagree"
