key,section,points,grade,estimated_points,estimated_grade,questionable_points,questionable_percentage
apricot-pea,Section 1: 8:00 AM - 9:15 AM  with Pablo Frank,31,51.67,27.67,46.11111111,3.33,5.55888889
apricot-tomato,Section 1: 8:00 AM - 9:15 AM  with Pablo Frank,31,51.67,14.33,23.88888889,16.67,27.78111111
aquamarine-cucumber,Section 1: 8:00 AM - 9:15 AM  with Pablo Frank,47,78.33,42,70,5,8.33
bittersweet-potato,Section 1: 8:00 AM - 9:15 AM  with Pablo Frank,29,48.33,23.17,38.61111111,5.83,9.71888889
bittersweet-tubers,Section 1: 8:00 AM - 9:15 AM  with Pablo Frank,43,71.67,43,71.66666667,0,0.00333333
black-turnip,Section 1: 8:00 AM - 9:15 AM  with Pablo Frank,49,81.67,44,73.33333333,5,8.33666667
blue-watercress,Section 1: 8:00 AM - 9:15 AM  with Pablo Frank,36,60,29.33,48.88888889,6.67,11.11111111
brown-bilberry,Section 1: 8:00 AM - 9:15 AM  with Pablo Frank,24,40,21.5,35.83333333,2.5,4.16666667
brown-mandarine,Section 1: 8:00 AM - 9:15 AM  with Pablo Frank,45,75,36.67,61.11111111,8.33,13.88888889
canary-eggplant,Section 1: 8:00 AM - 9:15 AM  with Pablo Frank,51,85,42.67,71.11111111,8.33,13.88888889
canary-elderberry,Section 1: 8:00 AM - 9:15 AM  with Pablo Frank,42,70,37,61.66666667,5,8.33333333
cerulean-chickpea,Section 1: 8:00 AM - 9:15 AM  with Pablo Frank,45,75,37.5,62.5,7.5,12.5
chestnut-cilantro,Section 1: 8:00 AM - 9:15 AM  with Pablo Frank,52,86.67,43.67,72.77777778,8.33,13.89222222
eggplant-rutabaga,Section 1: 8:00 AM - 9:15 AM  with Pablo Frank,20,33.33,15,25,5,8.33
goldenrod-dill,Section 1: 8:00 AM - 9:15 AM  with Pablo Frank,49,81.67,45.67,76.11111111,3.33,5.55888889
lavender-asparagus,Section 1: 8:00 AM - 9:15 AM  with Pablo Frank,24,40,20.67,34.44444444,3.33,5.55555556
magenta-jalapeno,Section 1: 8:00 AM - 9:15 AM  with Pablo Frank,25,41.67,19.17,31.94444444,5.83,9.72555556
manatee-lime,Section 1: 8:00 AM - 9:15 AM  with Pablo Frank,41,68.33,38.5,64.16666667,2.5,4.16333333
melon-quince,Section 1: 8:00 AM - 9:15 AM  with Pablo Frank,26,43.33,20.17,33.61111111,5.83,9.71888889
peach-frisee,Section 1: 8:00 AM - 9:15 AM  with Pablo Frank,38,63.33,35.5,59.16666667,2.5,4.16333333
razzmatazz-artichoke,Section 1: 8:00 AM - 9:15 AM  with Pablo Frank,13,21.67,10.5,17.5,2.5,4.17
razzmatazz-cabbage,Section 1: 8:00 AM - 9:15 AM  with Pablo Frank,24,40,20.67,34.44444444,3.33,5.55555556
red-jambul,Section 1: 8:00 AM - 9:15 AM  with Pablo Frank,25,41.67,18.33,30.55555556,6.67,11.11444444
red-radish,Section 1: 8:00 AM - 9:15 AM  with Pablo Frank,49,81.67,44,73.33333333,5,8.33666667
scarlet-gooseberry,Section 1: 8:00 AM - 9:15 AM  with Pablo Frank,43,71.67,36.33,60.55555556,6.67,11.11444444
sunglow-nectarine,Section 1: 8:00 AM - 9:15 AM  with Pablo Frank,49,81.67,44,73.33333333,5,8.33666667
tumbleweed-cranberry,Section 1: 8:00 AM - 9:15 AM  with Pablo Frank,56,93.33,51,85,5,8.33
violet-kumquat,Section 1: 8:00 AM - 9:15 AM  with Pablo Frank,44,73.33,41.5,69.16666667,2.5,4.16333333
yellow-eggplant,Section 1: 8:00 AM - 9:15 AM  with Pablo Frank,54,90,46.5,77.5,7.5,12.5